REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2022/07/01 00:05:00,5398.96,415.63,TRADE
VIC1,2022/07/01 00:10:00,5333.86,395.08,TRADE
VIC1,2022/07/01 00:15:00,5354.49,398.36,TRADE
VIC1,2022/07/01 00:20:00,5305.65,401.29,TRADE
VIC1,2022/07/01 00:25:00,5247.19,388.69,TRADE
VIC1,2022/07/01 00:30:00,5261.11,388.37,TRADE
VIC1,2022/07/01 00:35:00,5234.19,394.52,TRADE
VIC1,2022/07/01 00:40:00,5189.37,394.89,TRADE
VIC1,2022/07/01 00:45:00,5129.79,390.76,TRADE
VIC1,2022/07/01 00:50:00,5118.57,390.30,TRADE
VIC1,2022/07/01 00:55:00,5126.72,390.97,TRADE
VIC1,2022/07/01 01:00:00,5086.62,387.18,TRADE
VIC1,2022/07/01 01:05:00,5055.61,382.50,TRADE
VIC1,2022/07/01 01:10:00,4991.09,370.22,TRADE
VIC1,2022/07/01 01:15:00,5057.53,382.50,TRADE
VIC1,2022/07/01 01:20:00,4992.97,378.77,TRADE
VIC1,2022/07/01 01:25:00,4956.04,378.25,TRADE
VIC1,2022/07/01 01:30:00,4948.49,377.85,TRADE
VIC1,2022/07/01 01:35:00,4824.85,358.89,TRADE
VIC1,2022/07/01 01:40:00,4822.52,358.89,TRADE
VIC1,2022/07/01 01:45:00,4746.76,358.89,TRADE
VIC1,2022/07/01 01:50:00,4770.93,358.89,TRADE
VIC1,2022/07/01 01:55:00,4736.35,358.89,TRADE
VIC1,2022/07/01 02:00:00,4663.2,358.89,TRADE
VIC1,2022/07/01 02:05:00,4742.26,358.89,TRADE
VIC1,2022/07/01 02:10:00,4714.29,358.89,TRADE
VIC1,2022/07/01 02:15:00,4683.86,358.89,TRADE
VIC1,2022/07/01 02:20:00,4682.91,358.89,TRADE
VIC1,2022/07/01 02:25:00,4593.97,358.28,TRADE
VIC1,2022/07/01 02:30:00,4569.36,346.27,TRADE
VIC1,2022/07/01 02:35:00,4625.38,358.89,TRADE
VIC1,2022/07/01 02:40:00,4554.83,358.19,TRADE
VIC1,2022/07/01 02:45:00,4569.98,357.67,TRADE
VIC1,2022/07/01 02:50:00,4580.19,348.86,TRADE
VIC1,2022/07/01 02:55:00,4544.77,344.88,TRADE
VIC1,2022/07/01 03:00:00,4529.57,329.07,TRADE
VIC1,2022/07/01 03:05:00,4528.56,353.53,TRADE
VIC1,2022/07/01 03:10:00,4465.42,350.05,TRADE
VIC1,2022/07/01 03:15:00,4467.91,332.62,TRADE
VIC1,2022/07/01 03:20:00,4499.89,356.45,TRADE
VIC1,2022/07/01 03:25:00,4508.75,347.71,TRADE
VIC1,2022/07/01 03:30:00,4511.59,356.35,TRADE
VIC1,2022/07/01 03:35:00,4541.96,335.29,TRADE
VIC1,2022/07/01 03:40:00,4528.86,358.89,TRADE
VIC1,2022/07/01 03:45:00,4506.85,348.22,TRADE
VIC1,2022/07/01 03:50:00,4523.7,351.70,TRADE
VIC1,2022/07/01 03:55:00,4480.03,335.78,TRADE
VIC1,2022/07/01 04:00:00,4514.85,358.89,TRADE
VIC1,2022/07/01 04:05:00,4558.67,349.99,TRADE
VIC1,2022/07/01 04:10:00,4568.92,341.57,TRADE
VIC1,2022/07/01 04:15:00,4555.19,349.99,TRADE
VIC1,2022/07/01 04:20:00,4563.62,351.23,TRADE
VIC1,2022/07/01 04:25:00,4550.48,351.18,TRADE
VIC1,2022/07/01 04:30:00,4513.13,349.99,TRADE
VIC1,2022/07/01 04:35:00,4531.11,354.61,TRADE
VIC1,2022/07/01 04:40:00,4544.5,356.16,TRADE
VIC1,2022/07/01 04:45:00,4564.9,358.88,TRADE
VIC1,2022/07/01 04:50:00,4655.09,358.88,TRADE
VIC1,2022/07/01 04:55:00,4651.68,349.99,TRADE
VIC1,2022/07/01 05:00:00,4686.31,349.99,TRADE
VIC1,2022/07/01 05:05:00,4791.78,349.99,TRADE
VIC1,2022/07/01 05:10:00,4801.82,349.99,TRADE
VIC1,2022/07/01 05:15:00,4858.22,349.99,TRADE
VIC1,2022/07/01 05:20:00,4898.22,349.99,TRADE
VIC1,2022/07/01 05:25:00,4885.36,349.99,TRADE
VIC1,2022/07/01 05:30:00,4888.21,365.48,TRADE
